"","X","Country","label","GDP","amount"
"16",127,"Australia","2001",19517.84,17347.92
"15",126,"Australia","2002",281.82,-19236.02
"14",125,"Australia","2003",23465.39,23183.57
"13",124,"Australia","2004",3472.38,-19993.01
"12",123,"Australia","2005",3416.71,-55.67
"11",122,"Australia","2006",36118.28,32701.57
"10",121,"Australia","2007",4991.98,-31126.3
"9",120,"Australia","2008",49664.69,44672.71
"8",119,"Australia","2009",42743,-6921.69
"7",118,"Australia","2010",51874.85,9131.85
"6",117,"Australia","2011",62245.13,10370.28
"5",116,"Australia","2012",67677.63,5432.5
"4",115,"Australia","2013",67792.34,114.71
"3",114,"Australia","2014",62214.69,-5577.65
"2",113,"Australia","2015",56554.39,-5660.3
"17",128,"Australia","Begin",2169.92,2169.92
"1",113,"Australia","End",56554.39,0
"33",511,"Canada","2001",23691.59,-432.58
"32",510,"Canada","2002",24167.84,476.25
"31",509,"Canada","2003",28172.15,4004.31
"30",508,"Canada","2004",31979.87,3807.72
"29",507,"Canada","2005",36189.59,4209.72
"28",506,"Canada","2006",4386.7,-31802.89
"27",505,"Canada","2007",44544.53,40157.83
"26",504,"Canada","2008",46596.34,2051.81
"25",503,"Canada","2009",4773.45,-41822.89
"24",502,"Canada","2010",47447.48,42674.03
"23",501,"Canada","2011",5282.22,-42165.26
"22",500,"Canada","2012",52496.69,47214.47
"21",499,"Canada","2013",52413.72,-82.97
"20",498,"Canada","2014",544.43,-51869.29
"19",497,"Canada","2015",43315.74,42771.31
"34",512,"Canada","Begin",24124.17,24124.17
"18",497,"Canada","End",43315.74,0
"50",945,"France","2001",22527.32,61.6
"49",944,"France","2002",24275.24,1748
"48",943,"France","2003",29691.18,5415.94
"47",942,"France","2004",33874.74,4183.56
"46",941,"France","2005",34879.73,1004.99
"45",940,"France","2006",36544.59,1664.86
"44",939,"France","2007",416.58,-36128.01
"43",938,"France","2008",45413.66,44997.08
"42",937,"France","2009",41631.13,-3782.53
"41",936,"France","2010",473.34,-41157.79
"40",935,"France","2011",4381.29,3907.95
"39",934,"France","2012",4838.24,456.95
"38",933,"France","2013",42554.12,37715.88
"37",932,"France","2014",42955.24,401.12
"36",931,"France","2015",36526.77,-6428.47
"51",946,"France","Begin",22465.64,22465.64
"35",931,"France","End",36526.77,0
"67",1185,"Iceland","2001",28585.93,-3227.44
"66",1184,"Iceland","2002",31996.22,3410.29
"65",1183,"Iceland","2003",3945,-28051.22
"64",1182,"Iceland","2004",46917.27,42972.27
"63",1181,"Iceland","2005",56249.76,9332.49
"62",1180,"Iceland","2006",5613.54,-50636.22
"61",1179,"Iceland","2007",68348.32,62734.78
"60",1178,"Iceland","2008",55575.29,-12773.03
"59",1177,"Iceland","2009",4461.89,-51113.4
"58",1176,"Iceland","2010",41676.45,37214.56
"57",1175,"Iceland","2011",46.22,-41630.23
"56",1174,"Iceland","2012",44333.85,44287.63
"55",1173,"Iceland","2013",4781.39,-39552.46
"54",1172,"Iceland","2014",52473.11,47691.72
"53",1171,"Iceland","2015",5734,-46739.11
"68",1186,"Iceland","Begin",31813.37,31813.37
"52",1171,"Iceland","End",5734,0
"84",1297,"Italy","2001",24.82,-226.42
"83",1296,"Italy","2002",22196.57,22171.75
"82",1295,"Italy","2003",27387.23,5190.66
"81",1294,"Italy","2004",31174.56,3787.33
"80",1293,"Italy","2005",31959.26,784.7
"79",1292,"Italy","2006",3341.75,-28617.51
"78",1291,"Italy","2007",37698.79,34357.04
"77",1290,"Italy","2008",464.18,-37234.61
"76",1289,"Italy","2009",36976.85,36512.67
"75",1288,"Italy","2010",35849.37,-1127.48
"74",1287,"Italy","2011",38334.68,2485.31
"73",1286,"Italy","2012",34814.12,-3520.56
"72",1285,"Italy","2013",3537.27,-31276.85
"71",1284,"Italy","2014",35396.67,31859.4
"70",1283,"Italy","2015",349.15,-35047.52
"85",1298,"Italy","Begin",251.24,251.24
"69",1283,"Italy","End",349.15,0
"101",1329,"Japan","2001",33846.47,-4686.02
"100",1328,"Japan","2002",32289.35,-1557.12
"99",1327,"Japan","2003",3488.4,-28800.95
"98",1326,"Japan","2004",37688.72,34200.32
"97",1325,"Japan","2005",37217.65,-471.07
"96",1324,"Japan","2006",35433.99,-1783.66
"95",1323,"Japan","2007",35275.23,-158.76
"94",1322,"Japan","2008",39339.3,4064.07
"93",1321,"Japan","2009",4855.18,-34484.12
"92",1320,"Japan","2010",4457.68,-397.5
"91",1319,"Japan","2011",48168,43710.32
"90",1318,"Japan","2012",4863.48,-43304.52
"89",1317,"Japan","2013",4454.45,-409.03
"88",1316,"Japan","2014",3896.21,-558.24
"87",1315,"Japan","2015",34474.14,30577.93
"102",1330,"Japan","Begin",38532.49,38532.49
"86",1315,"Japan","End",34474.14,0
"118",1925,"Norway","2001",38549.59,402.87
"117",1924,"Norway","2002",4361.15,-34188.44
"116",1923,"Norway","2003",5111.65,750.5
"115",1922,"Norway","2004",5757.27,645.62
"114",1921,"Norway","2005",66775.39,61018.12
"113",1920,"Norway","2006",74114.7,7339.31
"112",1919,"Norway","2007",85128.66,11013.96
"111",1918,"Norway","2008",9688.6,-75440.06
"110",1917,"Norway","2009",817.78,-8870.82
"109",1916,"Norway","2010",87646.75,86828.97
"108",1915,"Norway","2011",1574.99,-86071.76
"107",1914,"Norway","2012",11563.73,9988.74
"106",1913,"Norway","2013",1291.44,-10272.29
"105",1912,"Norway","2014",975.5,-315.94
"104",1911,"Norway","2015",7455.25,6479.75
"119",1926,"Norway","Begin",38146.72,38146.72
"103",1911,"Norway","End",7455.25,0
"135",2440,"Spain","2001",15323.61,646.84
"134",2439,"Spain","2002",1719.54,-13604.07
"133",2438,"Spain","2003",21495.77,19776.23
"132",2437,"Spain","2004",24918.65,3422.88
"131",2436,"Spain","2005",2651.72,-22266.93
"130",2435,"Spain","2006",28482.69,25830.97
"129",2434,"Spain","2007",3279.41,-25203.28
"128",2433,"Spain","2008",35578.74,32299.33
"127",2432,"Spain","2009",32333.47,-3245.27
"126",2431,"Spain","2010",3736.23,-28597.24
"125",2430,"Spain","2011",31834.22,28097.99
"124",2429,"Spain","2012",28562.29,-3271.93
"123",2428,"Spain","2013",2921.93,-25640.36
"122",2427,"Spain","2014",296.47,-2625.46
"121",2426,"Spain","2015",25683.85,25387.38
"136",2441,"Spain","Begin",14676.77,14676.77
"120",2426,"Spain","End",25683.85,0
"152",2520,"Sweden","2001",26969.24,-2314.31
"151",2519,"Sweden","2002",29571.74,2602.5
"150",2518,"Sweden","2003",36961.43,7389.69
"149",2517,"Sweden","2004",42442.22,5480.79
"148",2516,"Sweden","2005",4385.35,-38056.87
"147",2515,"Sweden","2006",46256.47,41871.12
"146",2514,"Sweden","2007",53324.38,7067.91
"145",2513,"Sweden","2008",55746.84,2422.46
"144",2512,"Sweden","2009",4627.6,-51119.24
"143",2511,"Sweden","2010",5276.26,648.66
"142",2510,"Sweden","2011",59593.29,54317.03
"141",2509,"Sweden","2012",57134.78,-2458.51
"140",2508,"Sweden","2013",6283.25,-50851.53
"139",2507,"Sweden","2014",5918.2,-365.05
"138",2506,"Sweden","2015",5585.26,-332.94
"153",2521,"Sweden","Begin",29283.55,29283.55
"137",2506,"Sweden","End",5585.26,0
"169",2536,"Switzerland","2001",38538.64,725.41
"168",2535,"Switzerland","2002",41336.72,2798.08
"167",2534,"Switzerland","2003",4796.56,-36540.16
"166",2533,"Switzerland","2004",53255.98,48459.42
"165",2532,"Switzerland","2005",54797.55,1541.57
"164",2531,"Switzerland","2006",57348.93,2551.38
"163",2530,"Switzerland","2007",63223.47,5874.54
"162",2529,"Switzerland","2008",72119.57,8896.1
"161",2528,"Switzerland","2009",69672.47,-2447.1
"160",2527,"Switzerland","2010",74276.72,4604.25
"159",2526,"Switzerland","2011",87998.44,13721.72
"158",2525,"Switzerland","2012",83164.39,-4834.05
"157",2524,"Switzerland","2013",84658.89,1494.5
"156",2523,"Switzerland","2014",85814.59,1155.7
"155",2522,"Switzerland","2015",8989.84,-76824.75
"170",2537,"Switzerland","Begin",37813.23,37813.23
"154",2522,"Switzerland","End",8989.84,0
